相信
说道
指出
写道
说
问
声称
告诉
问道
为什么
表示
谈到
如是说
所说
反问
询问
回答
质问
宣称
问起
坚称
断言
答道
提到
说出
辩称
表明
吹嘘
认为
确信
否认
指责
觉得
告知
还称
感叹
看来
强调
答
坚信
追问
论断
深信
查问
并不认为
说明
谈起
特别强调
谈道
暗示
澄清
谈论
提道
喊道
夸耀
自夸
谈及
解释
详述
证明
批评
怒斥
发觉
察觉
回应
转述
说谎
撒谎
想到
回忆起
坦言
回想
反驳
承认
提及
断定
引述
取笑
透露
炫耀
慨叹
直说
坦承
证实
驳斥
陈述
揭示
转告
直言
请教
斥责
问及
问到
聊到
引用
详细描述
明确指出
真不知道
指控
援引
称
奉承
讲
写
谈谈
复述
戏弄
诉说
哄骗
讲出
坦白
听到
猜出
忘记
感慨
哀叹
叹息
赞叹
打趣
道歉
道歉道
辟谣
主张
重申
提倡
着重
表达
说实话
背诵
述说
叙说
谬误
发问
提问
对质
普遍认为
视为
看作
听闻
查到
亲眼目睹
深知
一再强调
矢口否认
含糊其辞
惊叫
讥笑
读
答复
辩解
表态
声明
发表声明
透漏
披露
交代
忆述
查证
申明
指明
阐明
阐述
解读
写出
写下
撰写
所写
讨论
争辩
论及
探讨
问问
聊聊
诵读
念出
读出
朗读
咒骂
做梦
挖苦
自嘲
读完
重读
唸
念
记述
记载
摘录
简述
其言
说辞
言
观点
论题
论述
谬论
结论
转达
请问
谈过
讲过
领悟到
反指
指证
谴责
抨击
严厉批评
诋毁
抹黑
污蔑
大喊
大叫
骂
大骂
高喊
嘲弄
掩饰
玩弄
卖弄
羞辱
虚荣
捉弄
作弄
责骂
调戏
欺负
嘲笑
吓唬
倾诉
娓娓道来
抒发
诉说着
表白
谄媚
赞美
阿谀奉承
言辞
